Masoala	Dypsidinae	genus	梅索拉椰属
Medemia	Hyphaeninae	genus	埃及棕属
Metroxylon	Metroxylinae	genus	西穀椰屬
Parajubaea	Attaleinae	genus	脊果椰属
Pinanga	Arecinae	genus	山槟榔属
Plectocomia	Plectocomiinae	genus	钩叶藤属
Raphia	Raphiinae	genus	酒椰属
Rhapis	Rhapidinae	genus	棕竹属
Salacca	Salaccinae	genus	蛇皮果属
Syagrus	Attaleinae	genus	金山葵属
Voanioala	Attaleinae	genus	森林椰属
Wodyetia	Ptychospermatinae	genus	狐尾椰子
Micrandreae	Crotonoideae	tribus	小雄戟族
Heveinae	Micrandreae	subtribus	橡胶树亚族
Hevea	Heveinae	genus	橡胶树属
Parashorea	Dipterocarpoideae	genus	柳安属
Lythraceae	Myrtales	familia	千屈菜科
Punica	Lythraceae	genus	石榴属
Rubiaceae	Gentianales	familia	茜草科
Rubioideae	Rubiaceae	subfamilia	茜草亚科
Morindeae	Rubioideae	tribus	巴戟天族
Morinda	Morindeae	genus	巴戟天属
Murraya	Merrilliinae	genus	九里香属
Merrilliinae	Aurantieae	subtribus	美栌木亚族
Prunus sect. Armeniaca	Prunus subg. Prunus	sectio	杏组
Prunus subg. Prunus	Prunus	subgenus	李亚属
Pyrus	Maleae	genus	梨
Malinae	Maleae	subtribus	苹果亚族
Pyrus sect. Pyrus	Pyrus	sectio	西洋梨组
Pyrus sect. Pashia	Pyrus	sectio	川梨组
Zingiber	Zingibereae	genus	薑屬
Zingiberoideae	Zingiberaceae	subfamilia	薑亞科
Zingibereae	Zingiberoideae	tribus	薑族
Zingiberaceae	Zingiberales	familia	薑科
Alpinioideae	Zingiberaceae	subfamilia	山薑亞科
Alpinieae	Alpinioideae	tribus	山薑族
Alpinia	Alpinieae	genus	山薑属
Amaryllidaceae	Asparagales	familia	石蒜科
Allioideae	Amaryllidaceae	subfamilia	蔥亞科
Allieae	Allioideae	tribus	葱族
Allium	Allieae	genus	蔥屬
Allium subg. Cepa	Allium	subgenus	洋葱亚属
Allium sect. Cepa	Allium subg. Cepa	sectio	洋葱组
Allium sect. Sacculiferum	Allium subg. Cepa	sectio	朝鲜韭组
Allium subg. Allium	Allium	subgenus	蒜亚属
Allium sect. Allium	Allium subg. Allium	sectio	蒜组
Allium subg. Caloscordum	Allium	subgenus	长梗韭亚属
Allium subg. Polyprason	Allium	subgenus	麝香葱亚属
Allium sect. Scorodon	Allium subg. Polyprason	sectio	麝香葱组
Allium subg. Butomissa	Allium	subgenus	野韭亚属
Allium sect. Butomissa	Allium subg. Butomissa	sectio	野韭组
Allium subg. Rhizirideum	Allium	subgenus	山韭亚属
Allium sect. Rhizirideum	Allium subg. Rhizirideum	sectio	山韭组
Cucurbita	Cucurbiteae	genus	南瓜屬
Cucurbiteae	Cucurbitoideae	tribus	南瓜族
Allium sect. Schoenoprasum	Allium subg. Cepa	sectio	虾夷葱组
Fragaria	Fragariinae	genus	草莓属
Fragariinae	Potentilleae	subtribus	草莓亚族
Potentilleae	Rosoideae	tribus	委陵菜族
Rosoideae	Rosaceae	subfamilia	薔薇亞科
Sapindus	Sapindoideae	genus	无患子属
Opuntia	Opuntioideae	genus	仙人掌属
Nyctaginaceae	Caryophyllales	familia	紫茉莉科
Bougainvilleeae	Nyctaginaceae	tribus	九重葛族
Bougainvillea	Bougainvilleeae	genus	九重葛属
Nyctagineae	Nyctaginaceae	tribus	夜茉莉族
Mirabilis	Nyctagineae	genus	紫茉莉属
Faboideae	Fabaceae	subfamilia!	蝶形花亚科
Phaseoleae	Faboideae	tribus	菜豆族
Phaseolinae	Phaseoleae	subtribus	菜豆亚族
Vigna	Phaseolinae	genus	豇豆属
Vigna subg. Ceratotropis	Vigna	subgenus	亚洲豇豆亚属
Vigna sect. Ceratotropis	Vigna subg. Ceratotropis	sectio	绿豆组
Vigna subg. Vigna	Vigna	subgenus	豇豆亚属
Vigna sect. Catiang	Vigna subg. Vigna	sectio	豇豆组
Caesalpinioideae	Fabaceae	subfamilia	蘇木亞科
Caesalpinieae	Caesalpinioideae	tribus	云实族
Peltophorum	Caesalpinioideae	genus	盾柱木属
Apocynaceae	Gentianales	familia	夾竹桃科
Rauvolfioideae	Apocynaceae	subfamilia	萝芙木亚科
Vinceae	Rauvolfioideae	tribus	蔓长春花族
Catharanthinae	Vinceae	subtribus	长春花亚族
Catharanthus	Catharanthinae	genus	長春花屬
Pandanaceae	Pandanales	familia	露兜树科
Pandanus	Pandanaceae	genus	露兜树属
Plumerieae	Rauvolfioideae	tribus	缅栀族
Allamandinae	Plumerieae	subtribus	黄蝉亚族
Allamanda	Allamandinae	genus	黃蟬屬
Schisandra	Schisandraceae	genus	五味子属
Kadsura	Schisandraceae	genus	南五味子属
Droseraceae	Caryophyllales	familia	茅膏菜科
